Sun May 26 10:46:40 2024    profile_output

         35856598 function calls (35200488 primitive calls) in 51.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22833    1.206    0.000    1.206    0.000 {method 'get_state' of 'numpy.random.mtrand.RandomState' objects}
    11505    0.061    0.000    1.191    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4271(__setitem__)
     7646    0.036    0.000    1.180    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
    14230    0.082    0.000    1.149    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:3820(get_indexer)
52568/52214    0.027    0.000    1.109    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:101(isna)
      177    0.000    0.000    1.105    0.006 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:7282(sort_index)
      177    0.001    0.000    1.104    0.006 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:5290(sort_index)
    11505    0.035    0.000    1.100    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4514(_set_item)
      177    0.003    0.000    1.097    0.006 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/multivariate/gaussian.py:213(_get_normal_samples)
52568/52214    0.112    0.000    1.083    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:184(_isna)
   228752    0.394    0.000    1.072    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:6301(__setattr__)
     6584    0.194    0.000    1.060    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
    21948    0.069    0.000    0.916    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:4626(_get_item_cache)
     3987    0.009    0.000    0.904    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/eventloop/zmqstream.py:625(_handle_recv)
   247812    0.156    0.000    0.899    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
     8142    0.025    0.000    0.889    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/series.py:6110(_cmp_method)
   207072    0.128    0.000    0.875    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/fromnumeric.py:294(choose)
     4602    0.043    0.000    0.851    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:5993(set_index)
     7469    0.013    0.000    0.849    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:6162(get_indexer_for)
     4425    0.043    0.000    0.844    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/indexes/base.py:7031(drop)
     1239    0.022    0.000    0.839    0.001 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
   156184    0.586    0.000    0.838    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/generic.py:6236(__finalize__)
    59976    0.363    0.000    0.828    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/util/version/__init__.py:339(__init__)
    22514    0.062    0.000    0.826    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/pandas/core/frame.py:3983(_ixs)
      354    0.007    0.000    0.813    0.002 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/categorical.py:174(_reverse_transform)
